95,注意,zhùyì ,to take note of,verb or noun,A1,,,17/07/21 19:56,17/07/21 19:57
96,沙發,shāfā ,sofa (loanword),noun,A1,,,17/07/21 19:56,17/07/21 19:57
97,決定,juédìng ,"decision, resolution",noun,A1,,,17/07/21 19:56,17/07/21 19:57
98,水果,shuǐguǒ ,fruit,noun,A1,,,17/07/21 19:56,17/07/21 19:57
99,比賽,bǐsài ,to compete,verb,A1,,,17/07/21 19:56,17/07/21 19:57
100,比賽,bǐsài ,competition (sports etc),noun,A1,,,17/07/21 19:56,17/07/21 19:57
101,歡迎,huānyíng ,to welcome,verb or noun,A1,,,17/07/21 19:56,17/07/21 19:57
102,樓下,lóuxià ,downstairs,noun,A1,,,17/07/21 19:56,17/07/21 19:57
103,樓上,lóushàng ,upstairs,noun,A1,,,17/07/21 19:56,17/07/21 19:57
104,樓,lóu ,floor,measure word,A1,,,17/07/21 19:56,17/07/21 19:57
105,椅子,yǐzi ,chair,noun,A1,,,17/07/21 19:56,17/07/21 19:57
106,棒球,bàngqiú ,baseball,noun,A1,,,17/07/21 19:56,17/07/21 19:57
107,桌子,zhuōzi ,table,noun,A1,,,17/07/21 19:56,17/07/21 19:57
108,果汁,guǒzhī ,fruit juice,noun,A1,,,17/07/21 19:56,17/07/21 19:57
109,杯子,bēizi ,cup,noun,A1,,,17/07/21 19:56,17/07/21 19:57
110,有時候,yǒushíhou ,sometimes,adverb,A1,,,17/07/21 19:56,17/07/21 19:57
111,晚會,wǎnhuì ,evening party,noun,A1,,,17/07/21 19:56,17/07/21 19:57
112,春天,chūntiān ,spring (season),noun,A1,,,17/07/21 19:56,17/07/21 19:57
113,旅館,lǚguǎn ,hotel,noun,A1,,,17/07/21 19:56,17/07/21 19:57
114,旅行,lǚxíng ,to travel,verb,A1,,,17/07/21 19:56,17/07/21 19:57
115,新年,xīnnián ,New Year,noun,A1,,,17/07/21 19:56,17/07/21 19:57
116,教室,jiàoshì ,classroom,noun,A1,,,17/07/21 19:56,17/07/21 19:57
117,接,jiē ,to receive,verb,A1,,,17/07/21 19:56,17/07/21 19:57
118,手指,shǒuzhǐ,finger,noun,A1,,,17/07/21 19:56,17/07/21 19:57
119,房間,fángjiān ,room,noun,A1,,,17/07/21 19:56,17/07/21 19:57
120,感冒,gǎnmào ,to catch cold,verb or adjective,A1,,,17/07/21 19:56,17/07/21 19:57
121,廚房,chúfáng ,kitchen,noun,A1,,,17/07/21 19:56,17/07/21 19:57
122,店,diàn ,inn,noun,A1,,,17/07/21 19:56,17/07/21 19:57
123,床,chuáng ,bed,noun,A1,,,17/07/21 19:56,17/07/21 19:57
124,年輕,niánqīng ,young,verb,A1,,,17/07/21 19:56,17/07/21 19:57
125,幫忙,bāngmáng ,to help,verb,A1,,,17/07/21 19:56,17/07/21 19:57
126,希望,xīwàng ,to wish for,verb or noun,A1,,,17/07/21 19:56,17/07/21 19:57
127,巧克力,qiǎokèlì ,chocolate (loanword),noun,A1,,,17/07/21 19:56,17/07/21 19:57
128,工廠,gōngchăng ,factory,noun,A1,,,17/07/21 19:56,17/07/21 19:57
129,工人,gōngrén ,worker,noun,A1,,,17/07/21 19:56,17/07/21 19:57
130,小時,xiǎoshí ,hour,noun,A1,,,17/07/21 19:56,17/07/21 19:57
131,小心,xiǎoxīn ,to be careful,verb,A1,,,17/07/21 19:56,17/07/21 19:57
132,小學,xiǎoxué ,elementary school,noun,A1,,,17/07/21 19:56,17/07/21 19:57
133,小孩,xiǎohái,child,noun,A1,,,17/07/21 19:56,17/07/21 19:57
134,對面,duìmiàn ,(sitting) opposite,noun,A1,,,17/07/21 19:56,17/07/21 19:57
135,寄,jì ,to send,verb,A1,,,17/07/21 19:56,17/07/21 19:57
136,家具,jiājù ,furniture,noun,A1,,,17/07/21 19:56,17/07/21 19:57
137,家人,jiārén ,household,noun,A1,,,17/07/21 19:56,17/07/21 19:57
