id;englishTitle;japaneseTitle;startDate;endDate;year;subtype;status;posterImage;episodeCount;episodeLength;totalLength
2907;Duel Masters Victory V3;デュエル・マスターズ ビクトリーV3;06/04/2013;29/03/2014;2013;TV;finished;https://media.kitsu.io/anime/poster_images/9723/small.jpg?1412594958;51;24;1224
2908;Yondemasu yo, Azazel-san. Z;よんでますよ、アザゼルさん。Z;07/04/2013;30/06/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7391/small.jpg?1408461186;13;12;156
2909;Shingeki no Kyojin;進撃の巨人;07/04/2013;29/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7442/small.jpg?1597698856;25;24;600
2910;Suisei no Gargantia;翠星のガルガンティア;07/04/2013;30/06/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7449/small.jpg?1597697478;13;24;312
2911;Namiuchigiwa no Muromi-san;波打際のむろみさん;07/04/2013;30/06/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7549/small.jpg?1597698361;13;13;169
2912;Dibetagurashi: Ahiru no Seikatsu;ぢべたぐらし あひるの生活;07/04/2013;30/03/2014;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7648/small.jpg?1408461972;39;3;117
2913;Glass no Kamen Desu ga;ガラスの仮面ですが;07/04/2013;21/04/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7649/small.jpg?1597696582;3;3;9
2914;Ketsuekigata-kun!;血液型くん！;07/04/2013;23/06/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7651/small.jpg?1408461981;12;0;2
2915;Battle Spirits: Sword Eyes Gekitouden;バトルスピリッツ ソードアイズ激闘伝;07/04/2013;08/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/9092/small.jpg?1597690670;21;25;525
2916;Haiyore! Nyaruko-san W;這いよれ！ニャル子さん W;08/04/2013;01/07/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7295/small.jpg?1408460903;12;24;288
2917;Mushibugyou;ムシブギョー 蟲奉行;08/04/2013;30/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7653/small.jpg?1597698198;26;23;598
2918;Mazinger ZIP!;マジンガーZIP!;08/04/2013;28/03/2014;2013;TV;finished;https://media.kitsu.io/anime/poster_images/9121/small.jpg?1411156552;237;1;237
2919;Arata Kangatari;アラタカンガタリ～革神語～;09/04/2013;02/07/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7448/small.jpg?1529722808;12;24;288
2920;Hayate no Gotoku! Cuties;ハヤテのごとく！ Cuties;09/04/2013;02/07/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7561/small.jpg?1597697982;12;0;4
2921;Sparrow's Hotel;スパロウズホテル;09/04/2013;25/06/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7654/small.jpg?1408461988;12;0;3
2922;Yuyushiki;ゆゆ式;10/04/2013;26/06/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7338/small.jpg?1597690824;12;23;276
2923;Aiura;あいうら;10/04/2013;26/06/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7576/small.jpg?1597698587;12;4;48
2924;Toaru Kagaku no Railgun S;とある科学の超電磁砲S;12/04/2013;27/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7366/small.jpg?1597696893;24;24;576
2925;Kakumeiki Valvrave;革命機ヴァルヴレイヴ;12/04/2013;28/06/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7487/small.jpg?1597699260;12;24;288
2926;Hentai Ouji to Warawanai Neko.;変態王子と笑わない猫。;13/04/2013;29/06/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7233/small.jpg?1597697885;12;24;288
2927;Ba La La Xiao Mo Xian Zhi: Qiji Wubu;巴啦啦小魔仙之奇迹舞步;19/04/2013;01/04/2014;2013;TV;finished;https://media.kitsu.io/anime/poster_images/11600/small.jpg?1449451769;52;24;1248
2928;Pokemon Best Wishes! Season 2: Decolora Adventure;ポケットモンスター ベストウイッシュ シーズン２ デコロラアドベンチャー;25/04/2013;26/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7895/small.jpg?1408462833;20;22;440
2929;Ikemen Kyuugo-tai Nurse Angels;イケメン救護隊 Nurse Angels;26/04/2013;28/06/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/9338/small.jpg?1597690690;10;3;30
2930;Glass no Kamen Desu ga to Z;ガラスの仮面ですが と Z;28/04/2013;28/07/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/9174/small.jpg?1597698777;14;3;42
2931;Inazuma Eleven Go: Galaxy;イナズマイレブンＧＯ ギャラクシー;08/05/2013;19/03/2014;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7765/small.jpg?1408462342;43;23;989
2932;Odoriko Clinoppe;踊り子クリノッペ;09/05/2013;28/11/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/9915/small.jpg?1413322643;26;2;52
2933;Shima Kousaku no Asia Risshi-den;島耕作のアジア立志伝;10/05/2013;13/02/2015;2013;TV;finished;https://media.kitsu.io/anime/poster_images/12840/small.jpg?1486236654;26;36;936
2934;BRAVOMAN;ベラボーマン;20/05/2013;12/02/2014;2013;TV;finished;https://media.kitsu.io/anime/poster_images/13309/small.jpg?1492452597;12;6;88
2935;Kingdom 2nd Season;キングダム 第2シリーズ;08/06/2013;02/03/2014;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7680/small.jpg?1597697048;39;25;975
2936;Yuuto-kun ga Iku;ゆうとくんがいく;14/06/2013;06/12/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/9714/small.jpg?1412325484;26;1;26
2937;Ukkari Pénélope (2013);うっかりペネロペ;01/07/2013;01/01/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/12852/small.jpg?1597690666;13;5;65
2938;Brothers Conflict;BROTHERS CONFLICT;02/07/2013;17/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7280/small.jpg?1597699091;12;24;288
2939;Inu to Hasami wa Tsukaiyou;犬とハサミは使いよう;02/07/2013;17/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7673/small.jpg?1597698949;12;24;288
2940;Tamayura: More Aggressive;たまゆら ～もあぐれっしぶ～;03/07/2013;18/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7299/small.jpg?1597697593;12;24;288
2941;Senyuu. 2;戦勇。2;03/07/2013;25/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7719/small.jpg?1408462224;13;4;52
2942;Gifuu Doudou!!: Kanetsugu to Keiji;義風堂々!! 兼続と慶次;03/07/2013;18/12/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7744/small.jpg?1408462292;25;24;600
2943;Free!;Free!;04/07/2013;26/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7664/small.jpg?1597696571;12;24;288
2944;Senki Zesshou Symphogear G;戦姫絶唱シンフォギアG;05/07/2013;27/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7311/small.jpg?1597691556;13;23;299
2945;Ro-Kyu-Bu! SS;ロウきゅーぶ! SS;05/07/2013;27/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7367/small.jpg?1597698347;12;24;288
2946;Love Lab;恋愛ラボ;05/07/2013;27/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7410/small.jpg?1597695272;13;24;312
2947;Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation;ダンガンロンパ 希望の学園と絶望の高校生 THE ANIMATION;05/07/2013;27/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7469/small.jpg?1597698758;13;24;312
2948;Servant x Service;サーバント×サービス;05/07/2013;27/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7669/small.jpg?1597697439;13;23;299
2949;Stella Jogakuin Koutou-ka C³-bu;ステラ女学院高等科C³部（しーきゅーぶ）;05/07/2013;27/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7671/small.jpg?1597692097;13;24;312
2950;Kitakubu Katsudou Kiroku;帰宅部活動記録;05/07/2013;11/10/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7676/small.jpg?1597698909;12;2;24
2951;Rozen Maiden (2013);ローゼンメイデン (2013);05/07/2013;27/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7678/small.jpg?1597697967;13;24;312
2952;Kiniro Mosaic;きんいろモザイク;06/07/2013;21/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7501/small.jpg?1597697358;12;24;288
2953;Genei wo Kakeru Taiyou;幻影ヲ駆ケル太陽;06/07/2013;28/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7670/small.jpg?1408462038;13;24;312
2954;Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo - The TV;マジでオタクなイングリッシュ! りぼんちゃん ~英語で戦う魔法少女~ the TV;06/07/2013;07/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7834/small.jpg?1408462561;10;0;4
2955;High School DxD New;ハイスクールD×D NEW;07/07/2013;22/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7258/small.jpg?1597697407;12;27;324
2956;Fantasista Doll;ファンタジスタドール;07/07/2013;29/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7332/small.jpg?1597699142;12;23;276
2957;Kamisama no Inai Nichiyoubi;神さまのいない日曜日;07/07/2013;22/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7358/small.jpg?1597698065;12;23;276
2958;Monogatari Series: Second Season;〈物語〉シリーズ セカンドシーズン;07/07/2013;29/12/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7573/small.jpg?1597698941;26;24;624
2959;Uchouten Kazoku;有頂天家族;07/07/2013;29/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7675/small.jpg?1597697144;13;24;13
2960;Genshiken Nidaime;げんしけん 二代目;07/07/2013;29/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7677/small.jpg?1597697667;13;1;13
2961;Hakkenden: Touhou Hakken Ibun 2nd Season;八犬伝 -東方八犬異聞- 2;07/07/2013;29/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7679/small.jpg?1597690713;13;24;312
2962;Teekyuu 2;てーきゅう ２期;07/07/2013;22/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7718/small.jpg?1597698687;12;2;24
2963;Blood Lad;ブラッドラッド;08/07/2013;09/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/6552/small.jpg?1597697787;10;24;10
2964;Makai Ouji: Devils and Realist;魔界王子 devils and realist;08/07/2013;23/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7544/small.jpg?1597690856;12;24;288
2965;Recorder to Randoseru Mi☆;リコーダーとランドセル ミ☆;08/07/2013;23/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7695/small.jpg?1408462134;12;0;0
2966;Kami nomi zo Shiru Sekai: Megami-hen;神のみぞ知るセカイ 女神篇;09/07/2013;24/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7496/small.jpg?1597696940;12;24;288
2967;Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!;私がモテないのはどう考えてもお前らが悪い!;09/07/2013;24/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7504/small.jpg?1597698321;12;24;288
2968;Nyuru Nyuru!! Kakusen-kun;にゅるにゅる!!KAKUSENくん;09/07/2013;24/12/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7830/small.jpg?1408462544;25;2;50
2969;Choujigen Game Neptune The Animation;超次元ゲイム ネプテューヌ THE ANIMATION;12/07/2013;27/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7379/small.jpg?1597698552;12;24;288
2970;Gin no Saji;銀の匙;12/07/2013;20/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7553/small.jpg?1597695040;11;23;253
2971;Fate/kaleid liner Prisma☆Illya;Fate/kaleid liner プリズマ☆イリヤ;13/07/2013;14/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7173/small.jpg?1597695114;10;24;240
2972;Futari wa Milky Holmes;ふたりはミルキィホームズ;13/07/2013;28/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7623/small.jpg?1418056573;12;0;2
2973;Kimi no Iru Machi;君のいる町;13/07/2013;28/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7672/small.jpg?1597698773;12;20;240
2974;Gatchaman Crowds;ガッチャマン クラウズ;13/07/2013;28/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7681/small.jpg?1597697777;12;23;276
2975;Xiong Chumo Zhi: Conglin Zongdongyuan;熊出没之丛林总动员;13/07/2013;25/09/2014;2013;TV;finished;https://media.kitsu.io/anime/poster_images/11863/small.jpg?1456281269;104;13;1352
2976;Yami Shibai;闇芝居;15/07/2013;30/09/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7840/small.jpg?1597698200;13;4;52
2977;Lovely Movie: Itoshi no Muco;ラブリームービー いとしのムーコ;29/07/2013;23/12/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/9896/small.jpg?1413322498;20;2;40
2978;Xiaolin Chronicles;Xiaolin Chronicles;26/08/2013;14/12/2014;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7953/small.jpg?1408463041;26;23;22
2979;Anisava;ANISAVA;26/08/2013;13/01/2014;2013;TV;finished;https://media.kitsu.io/anime/poster_images/9789/small.jpg?1413227853;13;5;65
2980;Zinba;神魄;26/08/2013;01/01/2014;2013;TV;finished;https://media.kitsu.io/anime/poster_images/11735/small.jpg?1451989172;52;23;1196
2981;Tamagotchi! Miracle Friends;たまごっち！～みらくるフレンズ～;05/09/2013;27/03/2014;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7990/small.jpg?1597690808;29;23;667
2982;Choegang Top Plate;최강 탑플레이트;11/09/2013;26/12/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/11278/small.jpg?1437797421;26;23;598
2983;The Legend of Korra Book 2: Spirits;Unknown;13/09/2013;22/11/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7938/small.jpg?1597697336;14;24;336
2984;Super Seisyun Brothers;Super Seisyun Brothers -超青春姉弟s-;14/09/2013;14/12/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7893/small.jpg?1597698626;14;4;56
2985;Diabolik Lovers;DIABOLIK LOVERS;16/09/2013;09/12/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7707/small.jpg?1597699223;12;15;180
2986;Saikyou Ginga Ultimate Zero: Battle Spirits;最強銀河 究極[アルティメット]ゼロ~バトルスピリッツ~;22/09/2013;21/09/2014;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7977/small.jpg?1408463116;49;25;1225
2987;Oshiri Kajiri Mushi (TV) 2nd Season;おしりかじり虫　第２シリーズ;30/09/2013;27/03/2014;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7976/small.jpg?1597691477;32;0;5
2988;Zhandou Wang Zhi Jufeng Zhan Hun 2;战斗王之飓风战魂2;01/10/2013;24/02/2014;2013;TV;finished;https://media.kitsu.io/anime/poster_images/14065/small.jpg?1512959185;40;24;960
2989;Coppelion;コッペリオン;02/10/2013;25/12/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/5746/small.jpg?1597699090;13;24;26
2990;Miss Monochrome: The Animation;ミス・モノクローム -The Animation-;02/10/2013;25/12/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7911/small.jpg?1597691402;13;4;52
2991;Gaist Crusher;ガイストクラッシャー;02/10/2013;01/10/2014;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7974/small.jpg?1408463107;51;20;1020
2992;Nagi no Asukara;凪のあすから;03/10/2013;03/04/2014;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7370/small.jpg?1597696992;26;23;598
2993;Kyoukai no Kanata;境界の彼方;03/10/2013;19/12/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7714/small.jpg?1597697326;12;24;288
2994;Aikatsu! 2;アイカツ! アイドルカツドウ!;03/10/2013;12/09/2014;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7972/small.jpg?1597697157;51;23;22
2995;Golden Time;ゴールデンタイム;04/10/2013;28/03/2014;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7708/small.jpg?1597697303;24;24;576
2996;Freezing Vibration;フリージング ヴァイブレーション;04/10/2013;20/12/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7710/small.jpg?1597698521;12;23;276
2997;Kill la Kill;キルラキル;04/10/2013;28/03/2014;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7712/small.jpg?1597696872;24;24;576
2998;Strike the Blood;ストライク・ザ・ブラッド;04/10/2013;28/03/2014;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7715/small.jpg?1597698184;24;24;576
2999;IS: Infinite Stratos 2;IS〈インフィニット・ストラトス〉2;04/10/2013;20/12/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7733/small.jpg?1597695049;12;24;288
3000;Outbreak Company;アウトブレイク・カンパニー;04/10/2013;20/12/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7837/small.jpg?1597696734;12;24;288
3001;Log Horizon;ログ・ホライズン;05/10/2013;22/03/2014;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7622/small.jpg?1597696938;25;25;625
3002;Little Busters!: Refrain;リトルバスターズ！～Refrain～;05/10/2013;28/12/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7704/small.jpg?1597696979;13;24;312
3003;Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.;勇者になれなかった俺はしぶしぶ就職を決意しました。;05/10/2013;21/12/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7725/small.jpg?1597695091;12;24;288
3004;Seiyuu Sentai Voicetorm 7 ;Unknown;05/10/2013;29/12/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7992/small.jpg?1408463167;11;5;55
